loc_rowid,koi_disposition,koi_duration,koi_depth,koi_model_snr
540,0,"2,96","79,80","26,70"
541,1,"2,28","777,70","50,70"
542,0,"2,50","1867,70","156,50"
543,1,"5,99","537,40","27,30"
544,1,"6,89","680,90","28,90"
545,0,"3,45","1273,00","36,70"
546,0,"7,54","47303,00","2561,10"
547,0,"2,35","861,40","63,00"
548,0,"1,25","714,10","93,30"
549,1,"3,15","1473,00","35,90"
550,1,"4,45","565,40","50,40"
551,0,"2,12","308,50","44,30"
552,null,"5,62","510,50","32,90"
553,null,"2,59","418,30","19,00"
554,null,"2,19","302,30","16,20"
555,1,"1,26","224,60","16,50"
556,1,"5,05","182,30","27,70"
557,1,"6,22","125,50","14,30"
558,0,"1,29",,
559,1,"1,84","76,70","38,70"
560,1,"3,42","210,20","36,70"
561,1,"3,25","124,10","25,60"
562,1,"3,66","1585,10","53,80"
563,1,"3,98","907,50","35,60"
564,0,"5,41","13715,00","1405,60"
565,1,"4,02","1145,90","66,70"
566,null,"2,16","34514,00","607,40"
567,1,"3,49","2141,40","116,20"
568,1,"3,53","3269,00","456,80"
569,1,"3,59","157,90","19,00"
570,0,"1,13","712,40","43,00"
571,1,"4,45","826,90","46,00"
572,0,"2,76","158,70","17,40"
573,0,"3,79",,
574,1,"3,55","325,80","21,60"
575,0,"3,69","2250,00","170,10"
576,0,"1,34","185,80","34,70"
577,1,"1,84","306,80","12,60"
578,1,"6,63","469,20","36,10"
579,0,"4,02","2133,00","238,60"
580,1,"7,76","956,90","200,00"
581,0,"3,45","82670,00","314,10"
582,0,"2,07","33117,00","578,60"
583,null,"7,99","14447,00","1441,90"
584,0,"6,65","2936,60","549,50"
585,0,"1,53","3018,90","179,00"
586,1,"3,96","1140,80","41,90"
587,1,"2,20","1525,20","56,60"
588,1,"2,37","1367,60","44,80"
589,1,"3,30","1925,10","46,40"
590,1,"1,68","614,10","28,60"
591,1,"0,67","843,30","45,30"
592,0,"6,43","10510,00","628,10"
593,0,"2,05","639,70","42,90"
594,1,"4,66","1006,20","29,50"
595,0,"3,92","819,60","39,70"
596,1,"1,89","820,10","51,70"
597,1,"1,98","315,10","67,50"
598,0,"1,15","4993,80","272,00"
599,1,"10,13","8244,10","318,30"
600,1,"2,70","1843,40","90,10"
601,0,"1,65","4952,00","180,60"
602,0,"19,29","7019,00","56,00"
603,0,"2,38","2025,10","236,90"
604,0,"6,55","1717,50","365,70"
605,0,"6,79","402,50","30,70"
606,1,"5,80","2486,60","61,90"
607,1,"3,56","1154,80","38,00"
608,1,"3,74","385,20","35,10"
609,1,"2,73","2608,10","166,30"
610,1,"3,17","4590,60","4061,90"
611,1,"4,59","6536,00","794,30"
612,1,"3,21","834,90","59,10"
613,1,"4,94","902,00","39,30"
614,0,"5,32","1467,90","18,30"
615,0,"3,32","283,50","35,40"
616,1,"6,57","677,80","33,60"
617,1,"2,24","492,10","19,30"
618,1,"5,62","290,60","15,60"
619,1,"3,67","1360,10","249,70"
620,0,"5,71","408,50","100,10"
621,1,"4,75","766,60","43,20"
622,null,"2,02","5869,20","79,70"
623,null,"7,11","9592,00","62,50"
624,0,"7,03","401,90","28,30"
625,1,"3,50","798,90","147,20"
626,1,"3,08","421,60","24,60"
627,1,"2,72","233,30","25,60"
628,1,"11,54","898,30","97,40"
629,1,"1,77","352,30","34,70"
630,1,"3,86","529,80","54,30"
631,1,"2,71","2039,70","120,90"
632,0,"8,28","1444,40","139,50"
633,1,"1,24","1300,70","60,00"
634,0,"2,44","36719,00","2981,30"
635,0,"6,38","37545,00","1642,20"
636,null,"25,73","4129,90","83,30"
637,0,"2,49","5897,40","130,00"
638,0,"3,32","5811,50","603,40"
639,0,"6,95","12992,00","2477,00"
640,0,"12,82","2969,20","294,80"
641,0,"6,59","7240,10","445,70"
642,0,"4,02","598,90","36,70"
643,1,"3,67","4653,60","54,70"
644,0,"2,84","451,10","52,40"
645,1,"2,30","448,60","10,50"
646,1,"6,22","536,40","31,70"
647,1,"3,01","363,00","28,60"
648,0,"6,61","415,30","88,80"
649,1,"1,72","511,50","56,30"
650,1,"2,70","61,40","11,40"
651,1,"1,94","503,00","20,80"
652,0,"2,28","254,70","86,30"
653,1,"0,55","1821,00","111,40"
654,1,"0,44","1461,50","150,40"
655,0,"4,46","6165,20","806,50"
656,1,"0,43","1124,80","56,90"
657,0,"3,08","6862,80","1293,10"
658,0,"3,32","71318,00","274,90"
659,0,"2,85","3040,00","207,40"
660,0,"2,43","1926,60","137,50"
661,0,"10,74","1298,10","149,30"
662,0,"6,86","5536,00","157,80"
663,0,"4,97","1039,00","124,30"
664,0,"1,02","1057,70","56,30"
665,1,"4,42","1346,60","40,80"
666,1,"2,42","831,30","29,30"
667,null,"1,10","128,20","13,20"
668,1,"4,80","1419,10","51,80"
669,null,"3,48","1174,10","32,30"
670,1,"4,74","4119,20","161,50"
671,null,"4,38","4319,70","106,20"
672,1,"1,96","599,70","31,10"
673,1,"1,43","515,30","99,80"
674,1,"9,99","2378,80","49,40"
675,1,"5,15","131,00","33,80"
676,null,"1,67","264,70","46,90"
677,null,"2,32","282,20","29,20"
678,1,"2,07","266,10","48,90"
679,1,"0,94","450,50","32,90"
680,1,"11,72","409,30","60,90"
681,1,"14,52","183,40","45,30"
682,1,"2,02","259,80","23,30"
683,1,"2,91","202,60","14,30"
684,1,"1,91","210,90","22,10"
685,1,"2,36","243,90","20,60"
686,1,"2,66","253,20","17,40"
687,1,"4,69","716,40","109,30"
688,1,"2,27","442,70","26,40"
689,1,"1,64","379,80","15,20"
690,1,"4,52","803,10","26,20"
691,1,"3,05","705,60","32,10"
692,1,"2,30","1070,70","40,30"
693,1,"2,08","908,90","21,30"
694,1,"4,17","1543,60","27,50"
695,null,"7,56","5087,90","197,90"
696,1,"4,15","428,50","34,50"
697,null,"5,18","3215,60","163,20"
698,0,"1,79","238,80","32,00"
699,1,"4,65","737,80","201,10"
700,0,"2,72","292,70","27,40"
701,1,"5,57","316,40","48,30"
702,1,"4,01","394,00","14,60"
703,1,"3,57","780,80","33,00"
704,1,"2,34","564,60","28,70"
705,1,"9,56","1083,30","83,10"
706,1,"5,55","429,20","42,80"
707,1,"3,75","707,90","27,80"
708,1,"2,56","331,70","19,60"
709,1,"2,17","270,20","17,50"
710,0,"1,32","295,70","17,90"
711,1,"4,65","987,70","50,70"
712,1,"4,80","256,40","16,60"
713,1,"2,55","170,20","18,00"
714,1,"6,51","322,80","15,00"
715,1,"3,45","616,30","20,10"
716,1,"2,04","246,50","23,90"
717,null,"3,39","401,30","25,30"
718,0,"4,16","20632,00","1454,30"
719,0,"4,26","41924,00","396,80"
720,0,"10,61","51746,00","898,40"
721,0,"1,79","16185,00","272,30"
722,null,"1,63","10085,00","426,00"
723,1,"4,67","288,70","50,60"
724,1,"3,96","451,20","31,70"
725,1,"7,25","630,80","54,90"
726,1,"3,32","249,60","25,80"
727,0,"0,89","143,80","48,20"
728,1,"4,43","1109,80","29,10"
729,1,"4,57","7251,50","2486,50"
730,1,"3,38","636,30","100,30"
731,1,"1,03","334,80","53,80"
732,0,"5,11","7419,80","110,30"
733,0,"2,67","639,70","41,30"
734,1,"8,59","563,90","56,40"
735,1,"2,75","354,20","34,40"
736,1,"2,27","211,60","26,80"
737,1,"3,85","348,50","24,60"
738,0,"4,48","895,20","203,60"
739,0,"8,61","2972,30","167,10"
740,1,"2,63","591,00","77,50"
741,0,"5,91","1974,10","95,50"
742,null,"7,52","17972,00","85,20"
743,0,"3,86","3450,50","220,30"
744,1,"8,65","160,60","36,90"
745,null,"3,49","149,70","36,30"
746,1,"6,63","55,40","28,50"
747,null,"3,85",,
748,1,"4,22","316,10","53,80"
749,0,"3,22","42086,00","300,60"
750,1,"2,83","222,50","31,90"
